5.0   4    6   0.18128654970760233
5.0   0    0   0.289766081871345
5.0   0    0   0.22748538011695907
5.0   0    0   0.135672514619883
7.0   6    8   0.16140350877192983
7.0   0    0   0.19269005847953216
7.0   0    0   0.17836257309941517
7.0   0    0   0.14502923976608184
9.0   8    10   0.10029239766081866
9.0   0    0   0.12748538011695904
9.0   0    0   0.11608187134502923
9.0   0    0   0.08450292397660814
12.5   10    15   0.08304093567251458
12.5   0    0   0.10204678362573094
12.5   0    0   0.09795321637426896
12.5   0    0   0.06812865497076015
20.0   15    25   0.0757309941520467
20.0   0    0   0.10175438596491221
20.0   0    0   0.09736842105263155
20.0   0    0   0.05438596491228065
32.5   25    40   0.09532163742690053
32.5   0    0   0.1549707602339181
32.5   0    0   0.14736842105263154
32.5   0    0   0.04327485380116952
