1.5   1   2   0.05238095238095236
1.5   1   2   0.06857142857142859
1.5   1   2   0.06266666666666668
1.5   1   2   0.0424761904761905
2.25   2   2.5   0.07942857142857143
2.25   2   2.5   0.0942857142857143
2.25   2   2.5   0.08914285714285716
2.25   2   2.5   0.06933333333333336
2.75   2.5   3   0.09866666666666668
2.75   2.5   3   0.11009523809523811
2.75   2.5   3   0.10495238095238096
2.75   2.5   3   0.09276190476190477
3.25   3   3.5   0.10438095238095238
3.25   3   3.5   0.11542857142857144
3.25   3   3.5   0.1104761904761905
3.25   3   3.5   0.1104761904761905
3.75   3.5   4   0.10476190476190478
3.75   3.5   4   0.11504761904761904
3.75   3.5   4   0.11104761904761906
3.75   3.5   4   0.09828571428571431
4.5   4   5   0.09752380952380954
4.5   4   5   0.10590476190476192
4.5   4   5   0.10742857142857143
4.5   4   5   0.08761904761904762
5.5   5   6   0.09447619047619049
5.5   5   6   0.10514285714285715
5.5   5   6   0.10457142857142859
5.5   5   6   0.08438095238095236
7.0   6   8   0.06876190476190477
7.0   6   8   0.07999999999999999
7.0   6   8   0.07885714285714288
7.0   6   8   0.058476190476190515
