0.5   0   1   0.03600000000000003
0.5   0   1   0.062285714285714305
0.5   0   1   0.04571428571428571
0.5   0   1   0.02590476190476193
1.25   1   1.5   0.038095238095238126
1.25   1   1.5   0.049904761904761896
1.25   1   1.5   0.043999999999999984
1.25   1   1.5   0.03180952380952384
1.75   1.5   2   0.059238095238095256
1.75   1.5   2   0.06723809523809524
1.75   1.5   2   0.0643809523809524
1.75   1.5   2   0.05409523809523814
2.25   2   2.5   0.08457142857142858
2.25   2   2.5   0.09180952380952381
2.25   2   2.5   0.08780952380952381
2.25   2   2.5   0.08152380952380953
2.75   2.5   3   0.08685714285714285
2.75   2.5   3   0.0942857142857143
2.75   2.5   3   0.09085714285714286
2.75   2.5   3   0.08285714285714288
3.25   3   3.5   0.09923809523809524
3.25   3   3.5   0.10704761904761906
3.25   3   3.5   0.10438095238095238
3.25   3   3.5   0.09409523809523809
3.75   3.5   4   0.09142857142857141
3.75   3.5   4   0.1
3.75   3.5   4   0.09619047619047619
3.75   3.5   4   0.08628571428571427
4.5   4   5   0.08685714285714285
4.5   4   5   0.07942857142857143
4.5   4   5   0.092
4.5   4   5   0.08171428571428574
5.5   5   6   0.08476190476190479
5.5   5   6   0.09466666666666668
5.5   5   6   0.09466666666666668
5.5   5   6   0.07485714285714284
6.5   6   7   0.07485714285714284
6.5   6   7   0.08800000000000002
6.5   6   7   0.09504761904761908
6.5   6   7   0.05485714285714288
7.5   5   8   0.06723809523809524
7.5   5   8   0.0841904761904762
7.5   5   8   0.08704761904761904
7.5   5   8   0.04704761904761906
