2.528   2   3   0.128170903190914
2.528   0   0   0.2220876149269876
2.541   0   0   0.1539556517036236
2.541   0   0   0.10295078420767984
3.547   3   4   0.16713034072471605
3.547   0   0   0.1989378042184965
3.533   0   0   0.18576311519740402
3.547   0   0   0.14868577609518657
4.497   4   5   0.19065657111952405
4.497   0   0   0.21832341806381828
4.497   0   0   0.20853650621957814
4.483   0   0   0.1725884261763115
5.475   5   6   0.20759545700378584
5.475   0   0   0.2339448350459708
5.461   0   0   0.22585181179015684
5.475   0   0   0.18952731206057327
6.899   6   8   0.17823472147106545
6.913   0   0   0.20100811249323958
6.899   0   0   0.19667928610059493
6.899   0   0   0.16054299621416984
9.776   8   12   0.14266306111411575
9.762   0   0   0.17127095727420227
9.776   0   0   0.16769497025419147
9.776   0   0   0.11781936181719849
14.805   12   24   0.14849756625202812
14.805   0   0   0.19103299080584102
14.805   0   0   0.17465873445105462
14.791   0   0   0.12327744726879394
