#: table_doi: 10.17182/hepdata.83197.v2/t4
#: name: Table 4
#: description: Rapidity dependence of $R_{\mathrm{pPb}}$ for prompt $\psi$(2S) mesons at $\sqrt(s_{\textrm{NN}})=5.02 $ TeV, in three $p_{\mathrm{T}}$ ranges. The fully correlated global uncertainty of 4.2% is not included in the point-by-point uncertainty.
#: data_file: data4.yaml
#: keyword reactions: P P --> PSI2S < MU+ MU- > X
#: keyword reactions: P PB --> PSI2S < MU+ MU- > X
#: keyword observables: RpPb
#: keyword cmenergies: 5020.0
#: keyword phrases: Prompt Psi(2S) | Nuclear Modification Factor | RpPb
#: RE      P P --> PSI(2S) < MU+ MU- > X        
#: SQRT(S)/NUCLEON [GEV]      5020
#: GLOBAL UNCERTAINTY      4.2 PCT
#: $p_{\textrm{T}}$ [GEV]      4.0-6.5
# $y_{\textrm{CM}}$  $y_{\textrm{CM}}$ LOW  $y_{\textrm{CM}}$ HIGH  $R_{\textrm{pPb}}$  stat +  stat -  syst +  syst -
-2.165  -2.4  -1.93  0.84  0.17  -0.17  0.22  -0.22
-1.7149999999999999  -1.93  -1.5  0.6  0.2  -0.2  0.09  -0.09
1.7149999999999999  1.5  1.93  0.69  0.15  -0.15  0.1  -0.1
