#: table_doi: 10.17182/hepdata.95750.v2/t5
#: name: RAA
#: description: $D^0$ $R_{AA}$ in Au+Au collisions at $\sqrt{s_{NN}} =200$ GeV for $0-10\%$ (a), $10-40\%$ (b) and $40-80\%$ (c) centrality bins, respectively. The first two and last two data points are presented as empty circles, indicating that the p+p reference is extrapolated into these $p_T$ ranges. The statistical and systematic uncertainties are shown as error bars and brackets on the data points. The light and dark green boxes on the right depict the normalization uncertainties in determining the $N_{bin}$ in Au+Au collisions and the total inelastic cross section in p+p collisions, respectively.
#: data_file: Fig31_raa.yaml
#: keyword reactions: AU AU --> NEUTRAL X
#: keyword cmenergies: 200.0
#: $p_T$,$D^0$ in $10-40\%$ centrality Au+Au collisions
# $\langle p_T \rangle$,$R_{AA}$,Stat error +,Stat error -,Sys error +,Sys error -
0.242 0 0.5 0.348  0.0298  -0.0298  0.888  -0.167
0.728 0.5 1 0.387  0.0132  -0.0132  0.254  -0.123
1.22 1 1.5 0.508  0.00872  -0.00872  0.198  -0.123
1.71 1.5 2 0.624  0.00822  -0.00822  0.195  -0.133
2.21 2 2.5 0.697  0.00874  -0.00874  0.228  -0.15
2.71 2.5 3  0.768  0.0102  -0.0102  0.267  -0.172
3.36 3 4 0.604  0.00756  -0.00756  0.207  -0.14
4.36 4 5 0.603  0.0125  -0.0125  0.191  -0.139
5.37 5 6 0.626  0.0228  -0.0228  0.221  -0.154
6.59 6 8 0.466  0.0271  -0.0271  0.197  -0.125
8.64 8 10 0.345  0.0509  -0.0509  0.352  -0.145
