11  7  15  0.796827 0.319493 -0.319493  0.258841  -0.258841
17.5  15  20  0.563866 0.250014 -0.250014  0.135912  -0.135912
35  20  50  0.534451 0.308739 -0.308739  0.167835  -0.167835
