5.5  5  6  0.603594 0.189696 -0.189696  0.114596  -0.114596
6.5  6  7  0.552943 0.173778 -0.173778  0.10498  -0.10498
8.5  7  10  0.487154 0.153102 -0.153102  0.0924894  -0.0924894
12.5  10  15  0.440579 0.0732382 -0.0732382  0.0757125  -0.0757125
17.5  15  20  0.423113 0.0721564 -0.0721564  0.0711011  -0.0711011
25  20  30  0.413215 0.0617451 -0.0617451  0.0681161  -0.0681161
40  30  50  0.405647 0.130325 -0.130325  0.0664277  -0.0664277
