0.125	1.15582
0.375	1.16013
0.625	1.16335
0.875	1.16447
1.125	1.16146
1.375	1.15539
1.625	1.14488
1.875	1.12995
2.125	1.11127
2.375	1.08624
2.625	1.05476
2.875	1.02253
3.125	0.98583
3.375	0.94841
3.625	0.91189
3.875	0.87466
4.125	0.83828
4.375	0.80516
4.625	0.77205
4.875	0.74288
5.125	0.71493
5.375	0.68994
5.625	0.66865
5.875	0.64647
6.125	0.62941
6.375	0.61194
6.625	0.5985
6.875	0.58537
7.125	0.57527
7.375	0.56512
7.625	0.55669
7.875	0.54933
8.125	0.54473
8.375	0.53818
8.625	0.53261
8.875	0.52959
9.125	0.52496
9.375	0.52227
9.625	0.51975
9.875	0.51726
10.125	0.51554
10.375	0.51405
10.625	0.5128
10.875	0.51202
11.125	0.5109
11.375	0.51011
11.625	0.50934
11.875	0.50892
12.125	0.5084
12.375	0.50828
12.625	0.50832
12.875	0.50836
13.125	0.50839
13.375	0.5085
13.625	0.50853
13.875	0.50904
14.125	0.50878
14.375	0.50888
14.625	0.50911
14.875	0.50909
15.125	0.50969
15.375	0.51013
15.625	0.51038
15.875	0.51074
16.125	0.51098
16.375	0.51021
16.625	0.51058
16.875	0.5112
17.125	0.51074
17.375	0.51161
17.625	0.50996
17.875	0.51066
18.125	0.51174
18.375	0.51124
18.625	0.51067
18.875	0.51003
19.125	0.51135
19.375	0.50988
19.625	0.50958
19.875	0.50876
20.125	0.50918
20.375	0.50894
20.625	0.50752
20.875	0.50728
21.125	0.50685
21.375	0.50612
21.625	0.50695
21.875	0.50597
22.125	0.50647
22.375	0.50467
22.625	0.50358
22.875	0.50433
23.125	0.50541
23.375	0.50336
23.625	0.50263
23.875	0.50335
24.125	0.50066
24.375	0.50077
24.625	0.50057
24.875	0.50137
