#: table_doi: 10.17182/hepdata.83200.v2/t19
#: name: Table 19
#: description: Nuclear modification factor of the Y(1S) meson as a function of collision centrality. Global uncertainty combines the pp luminosity and number of minimum bias events in PbPb collisions. The PP Y(1S) global uncertainty consists of the statistical and systematic uncertainties of pp yield for Y(1S) state. 
#: data_file: data19.yaml
#: keyword reactions: Pb Pb --> Upsilon(1S) X | P P --> Upsilon(1S) X
#: keyword observables: RAA
#: keyword phrases: Nuclear Modification Factor | Bottomonia | Cross Section | Lead-Lead Scattering | Muon production
#: keyword cmenergies: 5020.0
#: ABS(YRAP),,,0.0-2.4
#: PT [GEV],,,0.0-30.0
#: RE,,,P P --> Upsilon(1S) < MU+ MU- > X,,,,
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: GLOBAL UNCERTAINTY,,,3.05 %
#: PP Y(1S) GLOBAL UNCERTAINTY,,,3.62 %
# Centrality [PCT]  Centrality [PCT] LOW  Centrality [PCT] HIGH  RAA  stat +  stat -  sys +  sys -
8.3  70.0  100.0  0.792  0.131  -0.131  0.14  -0.097
30.6  60.0  70.0  0.922  0.088  -0.088  0.127  -0.117
53.9  50.0  60.0  0.609  0.053  -0.053  0.065  -0.063
87.0  40.0  50.0  0.524  0.036  -0.036  0.046  -0.045
131.4  30.0  40.0  0.485  0.027  -0.027  0.035  -0.036
189.2  20.0  30.0  0.402  0.039  -0.039  0.026  -0.027
264.2  10.0  20.0  0.324  0.017  -0.017  0.02  -0.021
333.3  5.0  10.0  0.321  0.021  -0.021  0.019  -0.02
384.3  0.0  5.0  0.319  0.019  -0.019  0.019  -0.02
