0.5   0   1   0.6726899383983571
0.5   0   1   0.721971252566735
0.5   0   1   0.7503080082135523
0.5   0   1   0.5889117043121148
1.5   1   2   0.6406570841889114
1.5   1   2   0.6837782340862422
1.5   1   2   0.7232032854209445
1.5   1   2   0.5568788501026694
2.5   2   3   0.7589322381930184
2.5   2   3   0.8168377823408624
2.5   2   3   0.8451745379876796
2.5   2   3   0.6689938398357289
3.5   3   4   0.8648870636550308
3.5   3   4   0.9609856262833674
3.5   3   4   0.9609856262833674
3.5   3   4   0.7613963039014373
5.0   4   6   1.0336755646817246
5.0   4   6   1.2024640657084187
5.0   4   6   1.15564681724846
5.0   4   6   0.9117043121149896
