#: table_doi: 10.17182/hepdata.94384.v1/t5
#: name: Table 5
#: description: Inclusive J/$\psi$ nuclear modification factor $R_{\rm AA}$ at midrapidity for $p_{\rm T} > 0.15$ GeV as a function of mean number of participating nucleons in Pb$-$Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ TeV. The low-$p_{\rm T}$ interval is removed to reject J/$\psi$ from photo-production. The correlated systematic uncertainty due to the pp reference cross section is not listed and amounts to 6.9%, shown as the red box around unity in the paper figure.
#: data_file: data5.yaml
#: data_license:   
#: keyword reactions: PB PB --> J/PSI X
#: keyword observables: RAA
#: keyword phrases: 
#: keyword cmenergies: 5020.0
#: RE,PB PB --> J/PSI <E+ E-> X
#: SQRT(S)/NUCLEON [GEV],5020.0
#: YRAP,-0.9 TO 0.9
#: PT [GEV/C],0.15 TO 10.0
# Avg Npart,RAA,stat +,stat -,sys +,sys -
18  0.977  0.119  -0.119  0.066  -0.066
70  0.790  0.091  -0.091  0.080  -0.080
159  0.874  0.077  -0.077  0.068  -0.068
263  0.743  0.101  -0.101  0.069  -0.069
359  1.156  0.106  -0.106  0.096  -0.096

