6.5  6 7 0.82  0.02 -0.02  0.06 -0.06
7.5  7 8 0.78  0.03 -0.03  0.09 -0.09
8.5  8 9 0.79  0.05 -0.05  0.12 -0.12
9.5  9 10 0.83  0.07 -0.07  0.09 -0.09
