0.5  0 1  0.87  0.01 -0.01  0.09 -0.09
1.5  1 2  0.97  0.01 -0.01  0.07 -0.07
2.5  2 3  1.06  0.01 -0.01  0.07 -0.07
3.5  3 4  1.06  0.01 -0.01  0.06 -0.06
4.5  4 5  1.06  0.01 -0.01  0.06 -0.06
5.5  5 6  1.01  0.02 -0.02  0.06 -0.06
