6.5  6 7  1.05  0.03 -0.03  0.06 -0.06
7.5  7 8  0.99  0.04 -0.04  0.06 -0.06
8.5  8 9  0.92  0.05 -0.05  0.07 -0.07
9.5  9 10  1.10  0.10 -0.10  0.09 -0.09
