0.5  0 1 0.62  0.01 -0.01  0.03 -0.03
1.5  1 2 0.64  0.01 -0.01  0.03 -0.03
2.5  2 3 0.70  0.01 -0.01  0.03 -0.03
3.5  3 4 0.72  0.01 -0.01  0.04 -0.04
4.5  4 5 0.77  0.01 -0.01  0.05 -0.05
5.5  5 6 0.77  0.02 -0.02  0.08 -0.08
