# prompt J/psi vs Npart
# x xmin   xmax  y  stat- stat+   syst-   syst+
70.42           0.04371       0.02867 0.02867 0.00979 0.00979
160.27          0.06084       0.01783 0.01783 0.01469 0.01469
311.39          0.06259       0.01643 0.01643 0.01434 0.01434
