# promt J/psi vs pT
# x xmin  xmax  y  stat-  stat+   syst-   syst+
9.809   9     11 0.0857 0.0258  0.0258  0.0141  0.0141
12.177  11    14 0.0613 0.0234  0.0234  0.0103  0.0103
17.584  14    30 0.0403 0.0224  0.0224  0.0065  0.0065
