# prompt J/psi vs Npart
# x xmin   xmax  y  stat- stat+   syst-   syst+
50 40 60           0.04371       0.02867 0.02867 0.00979 0.00979
30 20 40          0.06084       0.01783 0.01783 0.01469 0.01469
10 0 20          0.06259       0.01643 0.01643 0.01434 0.01434
