# non-prompt J/psi vs pT
# x xmin       xmax  y  stat-     stat+   syst-   syst+
9.809        9     11 0.03299   0.03711 0.03711 0.00550 0.00550
12.177       11    14 0.03574   0.03024 0.03024 0.00584 0.00584
17.584       14    30 0.03299   0.02268 0.02268 0.00550 0.00550
