# JHEP06(2023)132 Table 4
2.5  2  3 0.188  0.095  -0.095  0.025  -0.025
3.5  3  4 0.389  0.072  -0.072  0.029  -0.029
4.5  4  5 0.349  0.052  -0.052  0.040  -0.040
5.5  5  6 0.272  0.049  -0.049  0.036  -0.036
7  6  8 0.235  0.035  -0.035  0.032  -0.032
