2.5   2   3   0.187711006076975
2.5   0   0   0.2835921674544226
2.4   0   0   0.213369345037137
2.4   0   0   0.16272788656313297
3.5   3   4   0.38892640108035104
3.5   0   0   0.46049966239027684
3.4   0   0   0.4179608372721133
3.4   0   0   0.35989196488858877
4.5   4   5   0.3490884537474679
4.4   0   0   0.3997299122214719
4.5   0   0   0.38892640108035104
4.4   0   0   0.30925050641458474
5.5   5   6   0.27211343686698164
5.5   0   0   0.3207292370020255
5.5   0   0   0.30790006752194454
5.5   0   0   0.23565158676569875
7.0   6   8   0.23430114787305856
7.0   0   0   0.27008777852802146
7.0   0   0   0.2673869007427413
6.9   0   0   0.20256583389601612
