#: table_doi: 10.17182/hepdata.95232.v1/t6
#: name: Table 6
#: description: The acceptance- and efficiency-corrected $\mathrm{B}^{0}_{\mathrm{s}}/\mathrm{B}^{+}$ yields in PbPb collisions at $\sqrt{s_{NN}}=5.02$. The results are shown as a function of the event $\langle N_{part} \rangle$.
#: data_file: table_6.yaml
#: keyword observables: B0s/B+
#: keyword reactions: Pb Pb --> Bs0 --> J/PSI (MU+ MU-) + PHI (K+ K-) and Pb Pb --> B+ --> J/PSI (MU+ MU-) + K+
#: keyword cmenergies: 5020.0
#: keyword phrases: 
#: RE,,,Pb Pb --> Bs0 --> J/PSI (MU+ MU-) + PHI (K+ K-) and Pb Pb --> B+ --> J/PSI (MU+ MU-) + K+
#: SQRT(s)/NUCLEON [GeV],,,5020
#: $p_{T}$ [GeV/c],,,10.0 - 50.0
#: ABS(YRAP),,,0 - 2.4
#: Centrality,,,0 - 90.0%
#: Global uncertainty,,,8.05%
# Centrality (%),Centrality (%) LOW,Centrality (%) HIGH,$\mathrm{B}^{0}_{\mathrm{s}}/\mathrm{B}^{+}$,stat +,stat -,syst +,syst -
54.45 54.45 54.45  0.217  0.045  -0.046  0.026  -0.026
269.1 269.1 269.1  0.365  0.08  -0.084  0.063  -0.063

