70 60 80  0.44110384894698634
70 60 80  0.5006535947712419
70 60 80  0.5006535947712419
70 60 80  0.3822803195352216
50 40 60  0.4396514161220045
50 40 60  0.46652142338416863
50 40 60  0.47160493827160505
50 40 60  0.4091503267973857
30 20 40  0.3757443718228033
30 20 40  0.4011619462599856
30 20 40  0.40406681190994925
30 20 40  0.3452432824981846
15 10 20  0.35395787944807555
15 10 20  0.3895424836601308
15 10 20  0.3895424836601308
15 10 20  0.3154684095860567
5  0  10  0.2631808278867104
5  0  10  0.2965867828612928
5  0  10  0.30530137981118377
5  0  10  0.22251270878721863
