80  70  90   0.9013941698352345
11.4  11.4  11.4   1.211660329531052
11.4  11.4  11.4   1.049429657794677
11.4  11.4  11.4   0.753358681875792
60  50  70   0.9439797211660329
42.8  42.8  42.8   1.1477820025348544
42.8  42.8  42.8   1.0433460076045626
42.8  42.8  42.8   0.8435994930291507
40  30  50   0.7391634980988593
109.0  109.0  109.0   0.9531051964512041
109.0  109.0  109.0   0.8425855513307985
109.0  109.0  109.0   0.6347275031685677
15  0  30   0.5657794676806083
269.0  269.0  269.0   0.7462610899873257
269.0  269.0  269.0   0.6692015209125475
269.0  269.0  269.0   0.46235741444866907
