#: table_doi: 10.17182/hepdata.77102.v1/t7
#: name: Table 7
#: description: Double ratio of measured yields, $(N_{\psi\mathrm{(2S)}} /  N_{J/\psi})_{\mathrm{PbPb}} / (N_{\psi\mathrm{(2S)}} / N_{J/\psi})_{pp}$, as a function of centrality, for the forward rapidity analysis bin.
#: data_file: data7.yaml
#: keyword reactions: PB PB --> PSI(2S) X | PB PB --> J/PSI X | P P --> PSI(2S) X | P P --> J/PSI X
#: keyword observables: N/N
#: keyword phrases: Inclusive | Psi | J/Psi | Prompt | Proton-Proton Scattering | Muon production
#: keyword cmenergies: 5020.0
#: ABS(YRAP),,,1.6-2.4
#: PT [GeV],,,3.0-30.0
#: RE,,,P P --> J/PSI < MU+ MU- > X,,,,,,,,
#: SQRT(S)/NUCLEON [GeV],,,5020.0
# NPART,Centrality [PCT] LOW,Centrality [PCT] HIGH,$(N_{\psi\mathrm{(2S)}} / N_{J/\psi})_{\mathrm{PbPb}} / (N_{\psi\mathrm{(2S)}} / N_{J/\psi})_{pp}$,stat +,stat -,sys +,sys -,"sys,global pp uncertainty +","sys,global pp uncertainty -"
312  0.52  0.39  -0.39  0.15  -0.15  2.2%  -2.2%
# 160  -0.14  0.34  -0.34  0.1  -0.1  1.8%  -1.8%
# 33  0.22  0.25  -0.25  0.1  -0.1  1.8%  -1.8%
