Update: 20240831,,,,,,,,,,,,
H: Hepdata tables,,D: data point extraction of preliminary plots,,,X: will not include,M: data table missing for published results,,,,,,
,Web,Collaboration,Probe,Collision system,Observable,Dataset / Version,e-print,Reference,,,,
,,Initial production & Total cross-section,,,,,,,,,,
Published,X,STAR,,AuAu,RAA,200 GeV (2014),2303.06590,JHEP 06 (2023) 176,|y| < 0.7,,eloss,inclusive
Obsolete,X,STAR,,AuAu,RAA,200 GeV,0607012,PRL 98 (2007) 192301,,,eloss,inclusive
Published,X,PHENIX,,CuCu,RAA,200 GeV,1204.0754,PRC 86 (2012) 024909,,,eloss,inclusive
Published,X,PHENIX,,AuAu,RAA,62.4 GeV,1405.3301,PRC 91 (2015) 044907,,,eloss,inclusive
Published,X,ALICE,,PbPb,RAA,5.02 TeV (2015),2011.05718,PLB 820 (2021) 136558,,,eloss,inclusive
,,,Charmonia,,,,,,,,,
Published,H,CMS,Prompt J/ψ,PbPb,RAA,5.02 TeV (2015),1712.08959,EPJC 78 (2018) 509,,,qqbar,charm
Published,H,CMS,Prompt J/ψ,PbPb,RAA,2.76 TeV,1610.00613,EPJC 77 (2017) 252,,,qqbar,charm
Published,H,ATLAS,Prompt J/ψ,PbPb,RAA,5.02 TeV (2015),1805.04077,EPJC 78 (2018) 762,,,qqbar,charm
Published,H,ALICE,Prompt J/ψ,PbPb,RAA,5.02 TeV (2018),2308.16125,JHEP 02 (2024) 066,,,qqbar,charm
Published,H,PHENIX,Prompt J/ψ,CuAu,RAA,200 GeV,1702.01085,PRC 96 (2017) 064901,y = ycm,,qqbar,charm
Published,H,CMS,Prompt ψ(2S),PbPb,RAA,5.02 TeV (2015),1712.08959,EPJC 78 (2018) 509,,,qqbar,charm
Published,H,CMS,Prompt ψ(2S),PbPb,ψ(2S) to J/ψ,5.02 TeV (2015),1611.01438,PRL 118 (2017) 162301,,,qqbar,charm
Published,H,CMS,Prompt ψ(2S),PbPb,ψ(2S) to J/ψ,2.76 TeV,1410.1804 ,PRL 113 (2014) 262301,,,qqbar,charm
Published,H,ATLAS,Prompt ψ(2S),PbPb,ψ(2S) to J/ψ,5.02 TeV (2015),1805.04077,EPJC 78 (2018) 762,,,qqbar,charm
Published,H,PHENIX,Inclusive J/ψ,AuAu,RAA,200 GeV (2007),1103.6269,PRC 84 (2011) 054912,,,qqbar,charm
Published,H,PHENIX,Inclusive J/ψ,AuAu,RAA,200 GeV (2004),0611020,PRL 98 (2007) 232301,,,qqbar,charm
